authorization_notice_id,filing_date,patentee,address,LOC
CN305252410S,2018-07,公司,德国,02
CN305252411S,2018-07,公司,德国,02
CN305252412S,2018-07,公司,广东省,02
CN305252413S,2018-07,公司,广东省,02
CN305252414S,2018-08,个人,福建省,02
CN305252415S,2018-08,个人,福建省,02
CN305252416S,2018-08,个人,福建省,02
CN305252417S,2018-08,个人,福建省,02
CN305252418S,2018-08,个人,福建省,02
CN305252419S,2018-08,公司,湖南省,02
CN305252420S,2018-08,公司,湖南省,02
CN305252421S,2018-08,公司,湖南省,02
CN305252422S,2018-08,公司,湖南省,02
CN305252423S,2018-08,公司,湖南省,02
CN305252424S,2018-08,公司,湖南省,02
CN305252425S,2018-08,公司,湖南省,02
CN305252426S,2018-08,公司,湖南省,02
CN305252427S,2018-08,公司,广东省,02
CN305252428S,2018-09,个人,浙江省,02
CN305252429S,2018-09,个人,浙江省,02
CN305252430S,2018-09,公司,江西省,02
CN305252431S,2018-09,研究所,四川省,02
CN305252432S,2018-09,研究所,四川省,02
CN305252433S,2018-09,研究所,四川省,02
CN305252434S,2018-09,个人,广东省,02
CN305252435S,2018-09,研究所,湖北省,02
CN305252436S,2018-09,研究所,湖北省,02
CN305252437S,2018-09,个人,广东省,02
CN305252438S,2018-09,公司,福建省,02
CN305252439S,2018-09,个人,福建省,02
CN305252440S,2018-09,个人,福建省,02
CN305252441S,2018-09,公司,山东省,02
CN305252442S,2018-09,研究所,福建省,02
CN305252443S,2018-09,公司,江苏省,02
CN305252444S,2018-09,个人,福建省,02
CN305252445S,2018-09,个人,福建省,02
CN305252446S,2018-09,个人,福建省,02
CN305252447S,2018-09,个人,福建省,02
CN305252448S,2018-09,个人,福建省,02
CN305252449S,2018-09,个人,福建省,02
CN305252450S,2018-09,个人,福建省,02
CN305252451S,2018-09,个人,福建省,02
CN305252452S,2018-09,个人,福建省,02
CN305252453S,2018-09,个人,福建省,02
CN305252454S,2018-09,个人,福建省,02
CN305252455S,2018-09,个人,广东省,02
CN305252456S,2018-10,公司,福建省,02
CN305252457S,2018-10,研究所,四川省,02
CN305252458S,2018-10,研究所,四川省,02
CN305252459S,2018-10,研究所,四川省,02
CN305252460S,2018-10,研究所,四川省,02
CN305252461S,2018-10,研究所,四川省,02
CN305252462S,2018-10,研究所,四川省,02
CN305252463S,2018-10,研究所,四川省,02
CN305252464S,2018-10,研究所,四川省,02
CN305252465S,2018-10,研究所,四川省,02
CN305252466S,2018-10,研究所,四川省,02
CN305252467S,2018-10,研究所,四川省,02
CN305252468S,2018-10,研究所,四川省,02
CN305252469S,2018-10,研究所,四川省,02
CN305252470S,2018-10,研究所,四川省,02
CN305252471S,2018-10,研究所,四川省,02
CN305252472S,2018-10,研究所,四川省,02
CN305252473S,2018-10,个人,福建省,02
CN305252474S,2018-10,公司,福建省,02
CN305252475S,2018-10,个人,福建省,02
CN305252476S,2018-10,公司,福建省,02
CN305252477S,2018-10,个人,江西省,02
CN305252478S,2018-10,个人,浙江省,02
CN305252479S,2018-10,个人,浙江省,02
CN305252480S,2018-10,公司,浙江省,02
CN305252481S,2018-10,个人,吉林省,02
CN305252482S,2018-11,个人,广东省,02
CN305252483S,2018-11,个人,福建省,02
CN305252484S,2018-11,个人,河南省,02
CN305252485S,2018-11,个人,福建省,02
CN305252486S,2018-11,公司,福建省,02
CN305252487S,2018-11,公司,福建省,02
CN305252488S,2018-11,个人,福建省,02
CN305252489S,2018-11,个人,福建省,02
CN305252490S,2018-11,公司,浙江省,02
CN305252491S,2018-11,公司,法国,02
CN305252492S,2018-11,个人,福建省,02
CN305252493S,2018-12,个人,安徽省,02
CN305252494S,2018-12,个人,福建省,02
CN305252495S,2018-12,个人,福建省,02
CN305252496S,2018-12,个人,福建省,02
CN305252497S,2018-12,公司,福建省,02
CN305252498S,2018-12,个人,福建省,02
CN305252499S,2018-12,个人,上海市,02
CN305252500S,2018-12,个人,福建省,02
CN305252501S,2018-12,个人,福建省,02
CN305252502S,2018-12,个人,福建省,02
CN305252503S,2018-12,个人,广东省,02
CN305252504S,2018-12,个人,江西省,02
CN305252505S,2018-12,个人,江西省,02
CN305252506S,2018-12,个人,福建省,02
CN305252507S,2018-12,个人,福建省,02
CN305252508S,2018-12,个人,福建省,02
CN305252509S,2019-01,个人,福建省,02
CN305252510S,2019-01,公司,上海市,02
CN305252511S,2019-01,个人,福建省,02
CN305252512S,2019-01,个人,福建省,02
CN305252513S,2019-01,公司,美国,02
CN305252514S,2019-01,公司,美国,02
CN305252515S,2019-01,个人,江西省,02
CN305252516S,2019-01,个人,江西省,02
CN305252517S,2019-01,公司,广东省,02
CN305252518S,2019-01,公司,福建省,02
CN305252519S,2019-01,公司,福建省,02
CN305252520S,2019-02,公司,美国,02
CN305252521S,2019-02,公司,美国,02
CN305252522S,2019-02,公司,美国,02
CN305252523S,2019-02,公司,美国,02
CN305252524S,2019-02,公司,美国,02
CN305252525S,2019-02,公司,美国,02
CN305252526S,2019-02,公司,美国,02
CN305252527S,2019-02,公司,美国,02
CN305252528S,2019-02,公司,美国,02
CN305252529S,2019-02,公司,美国,02
CN305252530S,2019-02,个人,江西省,02
CN305252531S,2019-02,个人,江西省,02
CN305252532S,2019-02,个人,江西省,02
CN305252533S,2019-02,个人,江西省,02
CN305252534S,2019-02,个人,福建省,02
CN305252535S,2019-02,公司,福建省,02
CN305252536S,2019-02,公司,福建省,02
CN305252537S,2019-02,公司,福建省,02
CN305252538S,2019-03,个人,福建省,02
CN305252539S,2019-03,个人,福建省,02
CN305252540S,2019-03,个人,福建省,02
CN305252541S,2019-03,个人,福建省,02
CN305252542S,2019-03,个人,河北省,02
CN305252543S,2019-03,个人,福建省,02
CN305252544S,2019-03,个人,福建省,02
CN305252545S,2019-04,个人,江西省,02
CN305252546S,2019-04,个人,江西省,02
CN305252547S,2019-06,公司,北京市,02
CN305252548S,2019-06,公司,北京市,02
CN305252549S,2019-06,公司,北京市,02
CN305252550S,2019-06,公司,北京市,02
CN305252551S,2019-06,工厂,浙江省,02
CN305252552S,2019-06,学校,浙江省,02
CN305252553S,2019-06,学校,浙江省,02
CN305252554S,2019-06,学校,浙江省,02
CN305252555S,2019-06,学校,浙江省,02
CN305252556S,2019-06,学校,浙江省,02
CN305252557S,2019-06,公司,浙江省,02
CN305252558S,2018-08,公司,浙江省,02
CN305252559S,2018-08,公司,浙江省,02
CN305252560S,2018-08,公司,浙江省,02
CN305252561S,2019-01,个人,浙江省,02
CN305252562S,2019-01,个人,浙江省,02
CN305252563S,2019-01,公司,上海市,02
CN305252564S,2019-01,公司,上海市,02
CN305252565S,2019-01,公司,上海市,02
CN305252566S,2018-12,公司,上海市,02
CN305252567S,2019-01,个人,韩国,02
CN305252568S,2019-01,个人,浙江省,02
CN305252569S,2019-01,个人,浙江省,02
CN305252570S,2019-01,个人,浙江省,02
CN305252571S,2019-01,个人,浙江省,02
CN305252572S,2018-07,公司,美国,02
CN305252573S,2018-09,个人,广东省,02
CN305252574S,2018-10,公司,美国,02
CN305252575S,2018-10,公司,美国,02
CN305252576S,2018-11,公司,河北省,02
CN305252577S,2018-11,公司,广东省,02
CN305252578S,2018-12,公司,广东省,02
CN305252579S,2019-03,个人,福建省,02
CN305252580S,2018-08,个人,河南省,02
CN305252581S,2018-12,研究所,广东省,02
CN305252582S,2019-01,医院,江苏省,02
CN305252583S,2018-05,个人,湖南省,03
CN305252584S,2018-06,学校,江苏省,03
CN305252585S,2018-06,学校,江苏省,03
CN305252586S,2018-06,学校,江苏省,03
CN305252587S,2018-06,学校,江苏省,03
CN305252588S,2018-06,公司,美国,03
CN305252589S,2018-07,个人,浙江省,03
CN305252590S,2018-08,个人,浙江省,03
CN305252591S,2018-08,公司,法国,03
CN305252592S,2018-08,个人,吉林省,03
CN305252593S,2018-08,个人,吉林省,03
CN305252594S,2018-09,研究所,广东省,"['03', '13']"
CN305252595S,2018-09,个人,广东省,03
CN305252596S,2018-09,公司,广东省,03
CN305252597S,2018-09,公司,上海市,03
CN305252598S,2018-09,公司,上海市,03
CN305252599S,2018-09,个人,浙江省,03
CN305252600S,2018-09,个人,广东省,03
CN305252601S,2018-09,个人,贵州省,03
CN305252602S,2018-09,公司,浙江省,03
CN305252603S,2018-09,公司,浙江省,03
CN305252604S,2018-09,公司,浙江省,03
CN305252605S,2018-09,个人,广东省,03
CN305252606S,2018-09,公司,广东省,03
CN305252607S,2018-09,公司,浙江省,03
CN305252608S,2018-09,公司,浙江省,03
CN305252609S,2018-09,公司,浙江省,03
CN305252610S,2018-09,公司,浙江省,03
CN305252611S,2018-09,公司,浙江省,03
CN305252612S,2018-10,个人,河北省,03
CN305252613S,2018-10,个人,安徽省,03
CN305252614S,2018-10,公司,浙江省,03
CN305252615S,2018-11,公司,广东省,03
CN305252616S,2018-11,研究所,北京市,03
CN305252617S,2018-11,研究所,北京市,03
CN305252618S,2018-11,个人,四川省,03
CN305252619S,2018-11,研究所,广东省,03
CN305252620S,2018-11,研究所,广东省,03
CN305252621S,2018-11,研究所,广东省,03
CN305252622S,2018-11,公司,福建省,03
CN305252623S,2018-11,公司,福建省,03
CN305252624S,2018-11,公司,福建省,03
CN305252625S,2018-11,公司,福建省,03
CN305252626S,2018-11,公司,福建省,03
CN305252627S,2018-11,个人,广东省,03
CN305252628S,2018-11,研究所,上海市,03
CN305252629S,2018-11,公司,法国,03
CN305252630S,2018-11,公司,广东省,03
CN305252631S,2018-11,个人,浙江省,03
CN305252632S,2018-11,学校,陕西省,03
CN305252633S,2018-11,学校,陕西省,03
CN305252634S,2018-12,公司,广东省,03
CN305252635S,2018-12,个人,广东省,03
CN305252636S,2018-12,个人,广西壮族自治区,03
CN305252637S,2018-12,公司,广东省,03
CN305252638S,2018-12,个人,广东省,03
CN305252639S,2018-12,公司,广东省,03
CN305252640S,2018-12,公司,上海市,03
CN305252641S,2018-12,个人,江西省,03
CN305252642S,2018-12,研究所,上海市,03
CN305252643S,2018-12,公司,广东省,03
CN305252644S,2018-12,个人,广东省,03
CN305252645S,2018-12,公司,浙江省,03
CN305252646S,2018-12,个人,广东省,03
CN305252647S,2018-12,个人,广东省,03
CN305252648S,2018-12,个人,广东省,03
CN305252649S,2018-12,个人,浙江省,03
CN305252650S,2018-12,公司,广东省,03
CN305252651S,2018-12,公司,广东省,03
CN305252652S,2018-12,个人,河北省,03
CN305252653S,2018-12,公司,广东省,03
CN305252654S,2018-12,公司,广东省,03
CN305252655S,2018-12,公司,广东省,03
CN305252656S,2018-12,个人,福建省,03
CN305252657S,2018-12,个人,福建省,03
CN305252658S,2018-12,研究所,河北省,03
CN305252659S,2018-12,公司,浙江省,03
CN305252660S,2018-12,个人,山东省,03
CN305252661S,2018-12,公司,上海市,03
CN305252662S,2018-12,个人,广东省,03
CN305252663S,2018-12,个人,广东省,03
CN305252664S,2019-01,研究所,广东省,03
CN305252665S,2019-01,个人,浙江省,03
CN305252666S,2019-01,学校,黑龙江省,03
CN305252667S,2019-01,学校,云南省,03
CN305252668S,2019-01,公司,广东省,03
CN305252669S,2019-01,公司,广东省,03
CN305252670S,2019-01,公司,开曼群岛,03
CN305252671S,2019-01,个人,贵州省,03
CN305252672S,2019-01,公司,广东省,03
CN305252673S,2019-01,个人,广西壮族自治区,03
CN305252674S,2019-01,个人,广东省,03
CN305252675S,2019-01,研究所,广东省,03
CN305252676S,2019-01,个人,广东省,03
CN305252677S,2019-01,研究所,天津市,03
CN305252678S,2019-01,个人,湖南省,03
CN305252679S,2019-01,个人,广东省,03
CN305252680S,2019-01,个人,江西省,03
CN305252681S,2019-01,学校,贵州省,03
CN305252682S,2019-01,个人,广东省,03
CN305252683S,2019-01,个人,福建省,03
CN305252684S,2019-01,公司,山西省,03
CN305252685S,2019-01,公司,福建省,03
CN305252686S,2019-01,公司,福建省,03
CN305252687S,2019-01,研究所,广东省,03
CN305252688S,2019-01,研究所,江西省,03
CN305252689S,2019-01,研究所,江西省,03
CN305252690S,2019-01,研究所,江西省,03
CN305252691S,2019-02,研究所,浙江省,03
CN305252692S,2019-03,个人,湖南省,03
CN305252693S,2019-03,个人,湖南省,03
CN305252694S,2019-03,个人,福建省,03
CN305252695S,2019-03,研究所,北京市,03
CN305252696S,2019-03,个人,江西省,03
CN305252697S,2019-03,研究所,北京市,03
CN305252698S,2019-03,研究所,北京市,03
CN305252699S,2019-03,公司,浙江省,03
CN305252700S,2019-03,个人,广东省,03
CN305252701S,2019-01,个人,广东省,03
CN305252702S,2019-06,公司,广东省,03
CN305252703S,2019-06,公司,广东省,03
CN305252704S,2019-06,公司,广东省,03
CN305252705S,2019-06,公司,广东省,03
CN305252706S,2019-06,公司,广东省,03
CN305252707S,2019-06,公司,广东省,03
CN305252708S,2019-06,公司,广东省,03
CN305252709S,2019-06,公司,广东省,03
CN305252710S,2018-06,学校,广西壮族自治区,03
CN305252711S,2018-07,个人,湖北省,03
CN305252712S,2018-12,个人,北京市,03
CN305252713S,2018-12,研究所,江苏省,03
CN305252714S,2018-12,个人,北京市,03
CN305252715S,2019-01,公司,北京市,03
CN305252716S,2019-03,个人,江苏省,03
CN305252717S,2018-11,公司,浙江省,03
CN305252718S,2018-10,个人,浙江省,03
CN305252719S,2018-11,公司,河南省,03
CN305252720S,2019-01,个人,广东省,03
CN305252721S,2018-10,公司,山东省,04
CN305252722S,2018-11,个人,河北省,04
CN305252723S,2018-12,公司,美国,04
CN305252724S,2018-12,公司,浙江省,04
CN305252725S,2019-03,学校,黑龙江省,04
CN305252726S,2019-03,个人,浙江省,04
CN305252727S,2018-10,个人,江苏省,04
CN305252728S,2018-10,个人,江苏省,04
CN305252729S,2018-11,个人,广东省,04
CN305252730S,2018-12,个人,江苏省,04
CN305252731S,2019-01,学校,湖北省,04
CN305252732S,2019-01,研究所,浙江省,04
CN305252733S,2019-01,研究所,浙江省,04
CN305252734S,2019-01,研究所,浙江省,04
CN305252735S,2019-02,个人,香港特别行政区,04
CN305252736S,2019-03,个人,山东省,04
CN305252737S,2019-04,公司,北京市,04
CN305252738S,2018-06,公司,广东省,05
CN305252739S,2018-06,公司,广东省,05
CN305252740S,2018-06,公司,广东省,05
CN305252741S,2018-06,公司,广东省,05
CN305252742S,2018-09,公司,浙江省,05
CN305252743S,2018-11,学校,浙江省,05
CN305252744S,2019-06,研究所,江苏省,05
CN305252745S,2019-06,研究所,江苏省,05
CN305252746S,2019-06,研究所,江苏省,05
CN305252747S,2019-06,研究所,江苏省,05
CN305252748S,2019-06,研究所,江苏省,05
CN305252749S,2019-06,研究所,江苏省,05
CN305252750S,2019-06,研究所,江苏省,05
CN305252751S,2019-06,研究所,江苏省,05
CN305252752S,2019-06,研究所,江苏省,05
CN305252753S,2019-06,研究所,江苏省,05
CN305252754S,2019-06,研究所,江苏省,05
CN305252755S,2019-06,研究所,江苏省,05
CN305252756S,2019-06,研究所,江苏省,05
CN305252757S,2019-06,研究所,江苏省,05
CN305252758S,2019-06,学校,江苏省,05
CN305252759S,2019-06,学校,江苏省,05
CN305252760S,2018-08,公司,江苏省,05
CN305252761S,2018-08,公司,江苏省,05
CN305252762S,2018-08,公司,江苏省,05
CN305252763S,2018-08,公司,江苏省,05
CN305252764S,2018-08,公司,江苏省,05
CN305252765S,2018-08,公司,江苏省,05
CN305252766S,2018-08,公司,江苏省,05
CN305252767S,2018-09,公司,安徽省,05
CN305252768S,2018-12,公司,四川省,05
CN305252769S,2019-01,公司,山东省,05
CN305252770S,2019-01,个人,浙江省,05
CN305252771S,2019-01,个人,浙江省,05
CN305252772S,2019-01,个人,浙江省,05
CN305252773S,2019-01,个人,浙江省,05
CN305252774S,2019-01,研究所,北京市,05
CN305252775S,2019-03,公司,广东省,05
CN305252776S,2017-06,个人,福建省,06
CN305252777S,2018-04,公司,浙江省,06
CN305252778S,2018-05,公司,广东省,06
CN305252779S,2018-05,公司,广东省,06
CN305252780S,2018-05,公司,广东省,06
CN305252781S,2018-06,公司,广东省,06
CN305252782S,2018-06,工厂,上海市,06
CN305252783S,2018-07,公司,江苏省,06
CN305252784S,2018-07,公司,四川省,06
CN305252785S,2018-07,公司,四川省,06
CN305252786S,2018-07,公司,浙江省,06
CN305252787S,2018-08,公司,香港特别行政区,06
CN305252788S,2018-08,个人,湖北省,06
CN305252789S,2018-08,个人,湖北省,06
CN305252790S,2018-08,个人,湖南省,06
CN305252791S,2018-08,个人,湖南省,06
CN305252792S,2018-08,公司,上海市,06
CN305252793S,2018-08,公司,江苏省,06
CN305252794S,2018-08,公司,江苏省,06
CN305252795S,2018-08,个人,广东省,06
CN305252796S,2018-09,公司,广东省,06
CN305252797S,2018-09,个人,湖南省,06
CN305252798S,2018-09,个人,广东省,06
CN305252799S,2018-09,公司,广东省,06
CN305252800S,2018-09,公司,广东省,06
CN305252801S,2018-09,公司,广东省,06
CN305252802S,2018-09,个人,江西省,06
CN305252803S,2018-09,个人,河北省,06
CN305252804S,2018-09,个人,河北省,06
CN305252805S,2018-09,个人,广东省,06
CN305252806S,2018-09,个人,湖南省,06
CN305252807S,2018-09,个人,湖南省,06
CN305252808S,2018-09,公司,浙江省,06
CN305252809S,2018-10,个人,福建省,06
CN305252810S,2018-10,个人,广东省,06
CN305252811S,2018-10,个人,广西壮族自治区,06
CN305252812S,2018-10,公司,广东省,06
CN305252813S,2018-10,公司,广东省,06
CN305252814S,2018-10,公司,广东省,06
CN305252815S,2018-10,公司,广东省,06
CN305252816S,2018-10,公司,广东省,06
CN305252817S,2018-10,公司,广东省,06
CN305252818S,2018-10,公司,广东省,06
CN305252819S,2018-10,公司,广东省,06
CN305252820S,2018-10,公司,广东省,06
CN305252821S,2018-10,个人,安徽省,06
CN305252822S,2018-10,公司,广东省,06
CN305252823S,2018-10,个人,浙江省,06
CN305252824S,2018-10,公司,广东省,06
CN305252825S,2018-10,个人,江西省,06
CN305252826S,2018-10,个人,福建省,06
CN305252827S,2018-10,个人,广东省,06
CN305252828S,2018-10,公司,广东省,06
CN305252829S,2018-10,研究所,浙江省,06
CN305252830S,2018-10,个人,安徽省,06
CN305252831S,2018-10,个人,福建省,06
CN305252832S,2018-10,个人,陕西省,06
CN305252833S,2018-10,公司,广东省,06
CN305252834S,2018-10,公司,广东省,06
CN305252835S,2018-10,个人,北京市,06
CN305252836S,2018-11,个人,江西省,06
CN305252837S,2018-11,个人,江西省,06
CN305252838S,2018-11,学校,广东省,06
CN305252839S,2018-10,公司,浙江省,06
CN305252840S,2018-11,研究所,四川省,06
CN305252841S,2018-11,公司,浙江省,06
CN305252842S,2018-11,公司,广东省,06
CN305252843S,2018-11,公司,福建省,06
CN305252844S,2018-11,学校,陕西省,06
CN305252845S,2018-11,学校,陕西省,06
CN305252846S,2018-11,学校,陕西省,06
CN305252847S,2018-11,公司,广东省,06
CN305252848S,2018-11,个人,福建省,06
CN305252849S,2018-12,个人,广东省,06
CN305252850S,2018-12,公司,江苏省,06
CN305252851S,2018-12,个人,浙江省,06
CN305252852S,2018-12,研究所,广东省,06
CN305252853S,2018-12,个人,河北省,06
CN305252854S,2018-12,个人,广东省,06
CN305252855S,2018-12,个人,福建省,06
CN305252856S,2018-12,个人,广东省,06
CN305252857S,2018-12,个人,广东省,06
CN305252858S,2018-12,公司,广东省,06
CN305252859S,2018-12,公司,广东省,06
CN305252860S,2018-12,个人,广东省,06
CN305252861S,2018-12,个人,江西省,06
CN305252862S,2018-12,公司,广东省,06
CN305252863S,2018-12,个人,浙江省,06
CN305252864S,2018-12,个人,河北省,06
CN305252865S,2018-12,个人,河北省,06
CN305252866S,2018-12,研究所,安徽省,06
CN305252867S,2018-12,公司,意大利,06
CN305252868S,2018-12,公司,意大利,06
CN305252869S,2018-12,个人,福建省,06
CN305252870S,2018-12,研究所,安徽省,06
CN305252871S,2018-12,研究所,广东省,06
CN305252872S,2018-12,个人,福建省,06
CN305252873S,2018-12,公司,江苏省,06
